NM_MUNICIPIO,NR_SECAO,NR_LOCAL_VOTACAO,DS_CARGO_PERGUNTA,NM_PARTIDO,QT_APTOS,NM_VOTAVEL,QT_VOTOS,LOCAL,ENDERECO,BAIRRO,REGIAO
CARAGUATATUBA,1,1015,Prefeito,Partido Renovador Trabalhista Brasileiro,372,CORONEL STANELIS,27,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Prefeito,#NULO#,372,Branco,11,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Prefeito,Solidariedade,372,�LVARO ALENCAR,4,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Prefeito,Movimento Democr�tico Brasileiro,372,AGUILAR J�NIOR,88,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Prefeito,Partido dos Trabalhadores,372,JOS� MELLO,1,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Prefeito,Rede Sustentabilidade,372,DADINHO FACHINI,1,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Prefeito,#NULO#,372,Nulo,12,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Prefeito,Partido da Social Democracia Brasileira,372,MATEUS DA SILVA,111,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Prefeito,Partido Socialismo e Liberdade,372,PROFESSOR ANDERSON GUEIROS,2,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Vereador,Partido da Social Democracia Brasileira,372,MANU DA ALIMENTA��O ESCOLAR,1,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Vereador,Partido Liberal,372,ROBERTINHO DO SILVA,1,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Vereador,Partido Verde,372,DUDU DA ACADEMIA,1,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Vereador,PROGRESSISTAS,372,WAND�O ERMELINO,3,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Vereador,Partido Social Crist�o,372,NICO CAI�ARA,2,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Vereador,Partido da Social Democracia Brasileira,372,DIRCE DO RIO DO OURO,1,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
CARAGUATATUBA,1,1015,Vereador,Partido Verde,372,VERA MORAIS,4,EMEF PROF ANTONIA RIBEIRO DA SILVA,Rua Alcides Alves Pereira,JD CALIFORNIA,CENTRO
